crsp_portno,cik,accession,tsr_filingdate_first,tsr_reportdate_first,tsr_score,phrase_hits,anchor_hits,ncsr_html,filing_dir,evidence_snippet
1000001,81443,0001193125-24-213986,2024-09-05,2024-06-30,9844,ML_PROBA=0.984388,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000081443/2024-06-30/000119312524213986/d874101dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000081443/2024-06-30/000119312524213986,"ITEM 1. REPORTS TO STOCKHOLDERS. CLASS I : AUUIX JUNE 30, 2024 SCAN ME PLEASE SCAN QR CODE FOR FUND INFORMATION AB SELECT US EQUITY PORTFOLIO ANNUAL SHAREHOLDER REPORT THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE AB SELECT US EQUITY PORTFOLIO (THE ""FUND"") FOR THE PERIOD OF JULY 1, 2023 TO JUNE 30, 2"
1000045,1112996,0000898430-24-000945,2024-11-06,2024-08-31,9624,ML_PROBA=0.962389,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001112996/2024-08-31/000089843024000945/8dcfe8824d2d943.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001112996/2024-08-31/000089843024000945,"EHOLDERS PURSUANT TO RULE 30E-1 UNDER THE INVESTMENT COMPANY ACT OF 1940, AS AMENDED (THE ""ACT"") IS AS FOLLOWS: INVESCO AMERICAN FRANCHISE FUND CLASS A : VAFAX ANNUAL SHAREHOLDER REPORT | AUGUST 31, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT INVESCO AMERICAN FRANCHISE FUND (THE “FUND”) FOR THE PERIOD SEPTEMBER 1,"
1000052,725781,0001145549-25-045432,2025-07-02,2025-04-30,9472,ML_PROBA=0.947229,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000725781/2025-04-30/000114554925045432/8ddb923acdac8f6.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000725781/2025-04-30/000114554925045432,"ED TO SHAREHOLDERS PURSUANT TO RULE 30E-1 UNDER THE INVESTMENT COMPANY ACT OF 1940, AS AMENDED (THE ""ACT"") IS AS FOLLOWS: INVESCO COMSTOCK FUND CLASS A : ACSTX ANNUAL SHAREHOLDER REPORT | APRIL 30, 2025 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT INVESCO COMSTOCK FUND (THE “FUND”) FOR THE PERIOD MAY 1, 2024 TO APRIL 30,"
1000103,44402,0000898432-24-000879,2024-11-07,2024-08-31,9601,ML_PROBA=0.960145,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000044402/2024-08-31/000089843224000879/ncsr-nbef-updated.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000044402/2024-08-31/000089843224000879,"O4217:USD XBRLI:SHARES ISO4217:USD XBRLI:SHARES XBRLI:PURE UTR:D NEUBERGERBERMAN:HOLDING 0000044402 2023-09-01 2024-08-31 NEUBERGER BERMAN DIVIDEND GROWTH FUND ANNUAL SHAREHOLDER REPORT AUGUST 31, 2024 INSTITUTIONAL CLASS : NDGIX THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE FUND FOR THE PERIOD OF SEPTEMBER 1, 2023 TO"
1000111,725781,0001145549-25-045432,2025-07-02,2025-04-30,9472,ML_PROBA=0.947229,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000725781/2025-04-30/000114554925045432/8ddb923acdac8f6.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000725781/2025-04-30/000114554925045432,"ED TO SHAREHOLDERS PURSUANT TO RULE 30E-1 UNDER THE INVESTMENT COMPANY ACT OF 1940, AS AMENDED (THE ""ACT"") IS AS FOLLOWS: INVESCO COMSTOCK FUND CLASS A : ACSTX ANNUAL SHAREHOLDER REPORT | APRIL 30, 2025 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT INVESCO COMSTOCK FUND (THE “FUND”) FOR THE PERIOD MAY 1, 2024 TO APRIL 30,"
1000145,1081400,0001193125-24-229958,2024-10-01,2024-07-31,9630,ML_PROBA=0.963046,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001081400/2024-07-31/000119312524229958/d890863dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001081400/2024-07-31/000119312524229958,"ITEM 1. REPORT TO STOCKHOLDERS ANNUAL SHAREHOLDER REPORT DISCIPLINED U.S. CORE FUND JULY 31, 2024 INSTITUTIONAL CLASS EVSIX THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT DISCIPLINED U.S. CORE FU"
1000194,356682,0001193125-24-267131,2024-11-27,2024-09-30,9498,ML_PROBA=0.949820,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000356682/2024-09-30/000119312524267131/d23134dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000356682/2024-09-30/000119312524267131,"ITEM 1. REPORTS TO STOCKHOLDERS (A) CALVERT BALANCED FUND CLASS A CSIFX ANNUAL SHAREHOLDER REPORT SEPTEMBER 30, 2024 THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE CALVERT BALANCED FUND FOR THE PERIOD OF OCTOBER 1, 2023 TO SEPTEMBER"
1000595,44402,0000898432-24-000879,2024-11-07,2024-08-31,9601,ML_PROBA=0.960145,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000044402/2024-08-31/000089843224000879/ncsr-nbef-updated.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0000044402/2024-08-31/000089843224000879,"O4217:USD XBRLI:SHARES ISO4217:USD XBRLI:SHARES XBRLI:PURE UTR:D NEUBERGERBERMAN:HOLDING 0000044402 2023-09-01 2024-08-31 NEUBERGER BERMAN DIVIDEND GROWTH FUND ANNUAL SHAREHOLDER REPORT AUGUST 31, 2024 INSTITUTIONAL CLASS : NDGIX THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT THE FUND FOR THE PERIOD OF SEPTEMBER 1, 2023 TO"
1000626,1081400,0001193125-24-229958,2024-10-01,2024-07-31,9630,ML_PROBA=0.963046,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001081400/2024-07-31/000119312524229958/d890863dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001081400/2024-07-31/000119312524229958,"ITEM 1. REPORT TO STOCKHOLDERS ANNUAL SHAREHOLDER REPORT DISCIPLINED U.S. CORE FUND JULY 31, 2024 INSTITUTIONAL CLASS EVSIX THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT DISCIPLINED U.S. CORE FU"
1000628,1081400,0001193125-24-229958,2024-10-01,2024-07-31,9630,ML_PROBA=0.963046,THRESHOLD=0.50,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001081400/2024-07-31/000119312524229958/d890863dncsr.htm,/content/drive/MyDrive/TSR Project/NCSR Reports/raw_files/CIK0001081400/2024-07-31/000119312524229958,"ITEM 1. REPORT TO STOCKHOLDERS ANNUAL SHAREHOLDER REPORT DISCIPLINED U.S. CORE FUND JULY 31, 2024 INSTITUTIONAL CLASS EVSIX THIS ANNUAL SHAREHOLDER REPORT CONTAINS IMPORTANT INFORMATION ABOUT DISCIPLINED U.S. CORE FU"
